ward,no.,leakage/y/m/d,leakage point,cause,repair way,other repair,remove or not,diameter,leakage year,construction year
M,37,平成9年1月23日,配水管本体,不明,割継輪,,未撤去,150,1997,1987
M,48,平成16年8月19日,継手,不明,漏水防止金具,,未撤去,100,2004,1965
M,66,平成4年10月17日,配水管本体,不明,割継輪,,未撤去,150,1992,1981
M,655,昭和62年00月00日,不明,不明,不明,,未撤去,300,1987,1968
M,771,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1979
M,874,平成8年3月9日,配水管本体,不明,割継輪,,未撤去,150,1996,1973
M,959,平成17年10月27日,不明,不明,不明,,不明,150,2005,1969
M,1160,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1971
M,1263,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1974
M,1549,平成04年01月00日,不明,不明,不明,管修繕．曲管．切管,未撤去,150,1992,1968
M,1650,平成03年10月00日,配水管本体,不明,割継輪,,未撤去,300,1991,1968
M,1666,平成04年03月00日,不明,不明,不明,,未撤去,150,1992,1976
M,1846,昭和60年00月00日,不明,不明,不明,,未撤去,100,1985,1967
M,1846,平成18年1月31日,配水管本体,不明,割継輪,,未撤去,100,2006,1967
M,1975,平成9年2月18日,配水管本体,不明,割継輪,,未撤去,100,1997,1990
M,2281,平成17年8月22日,不明,不明,不明,,不明,150,2005,1973
M,2414,平成15年1月15日,不明,その他,不明,,未撤去,75,2003,1997
M,2765,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1966
M,2689,昭和56年00月00日,不明,不明,不明,,未撤去,300,1981,1966
N,22,昭和59年00月00日,不明,不明,不明,上,未撤去,150,1984,1983
N,117,昭和63年00月00日,不明,不明,不明,,未撤去,300,1988,1976
N,136,平成07年01月00日,不明,不明,その他,,未撤去,200,1995,1969
N,332,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1971
N,488,平成18年11月20日,配水管本体,不明,割継輪,,未撤去,200,2006,1974
N,569,平成15年1月29日,配水管本体,不明,割継輪,,未撤去,150,2003,1967
N,571,平成15年1月29日,配水管本体,不明,割継輪,,未撤去,150,2003,1979
N,539,昭和61年00月00日,不明,不明,不明,,未撤去,300,1986,1966
N,539,昭和62年00月00日,不明,不明,不明,,未撤去,300,1987,1966
N,898,平成18年5月16日,配水管本体,不明,割継輪,,未撤去,200,2006,1972
N,1035,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1985
N,1069,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1980
N,1141,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1978
N,1168,平成18年10月25日,配水管本体,不明,割継輪,,未撤去,150,2006,1986
N,1312,平成19年1月18日,配水管本体,不明,割継輪,,未撤去,200,2007,1966
N,1262,昭和63年4月28日,継手,第3者,管取替え,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1988,1978
N,1262,昭和61年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1986,1978
N,1312,平成13年00月00日,配水管本体,不明,割継輪,,未撤去,200,2001,1966
N,1345,昭和57年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,未撤去,200,1982,1966
N,1349,昭和57年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,未撤去,150,1982,1969
N,1631,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1974
N,1644,平成17年2月26日,配水管本体,不明,割継輪,,未撤去,150,2005,1973
N,1678,昭和57年00月00日,不明,不明,不明,,未撤去,300,1982,1966
N,1311,平成16年9月12日,不明,その他,不明,φ３００割丁字管取替工事,未撤去,300,2004,1966
N,1726,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1968
N,1760,平成02年00月00日,不明,不明,不明,　　　　　　　　　　　　　　　　　　　　,撤去済,200,1990,1990
N,1987,平成8年12月8日,不明,不明,割継輪,,未撤去,150,1996,1977
N,1816,平成14年3月1日,配水管本体,不明,割継輪,,未撤去,200,2002,1969
N,2162,その他00年00月00日,不明,不明,不明,,未撤去,150,不明,1985
N,2165,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1968
N,2257,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1969
N,2326,平成03年07月00日,不明,不明,不明,,未撤去,300,1991,1986
P,45,平成04年06月00日,不明,不明,不明,,未撤去,150,1992,1972
P,39,平成4年11月27日,不明,不明,不明,折損加修,未撤去,150,1992,1968
P,162,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1973
P,162,平成7年10月2日,配水管本体,不明,割継輪,,未撤去,150,1995,1973
P,23,昭和58年00月00日,不明,不明,不明,上,未撤去,150,1983,1978
P,308,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1967
P,458,平成9年2月25日,不明,不明,管取替え,,未撤去,100,1997,1996
P,680,昭和63年00月00日,不明,不明,不明,下,未撤去,200,1988,1966
P,719,昭和61年00月00日,不明,不明,不明,,未撤去,300,1986,1985
P,853,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1969
P,853,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1969
P,1183,平成16年12月16日,不明,第3者,割継輪,,未撤去,200,2004,1968
P,1271,平成16年9月9日,配水管本体,不明,漏水防止金具,配水管修繕工事,未撤去,200,2004,1975
Q,156,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1982
Q,263,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1967
Q,330,平成19年3月2日,配水管本体,不明,管取替え,漏水修繕工事,撤去済,300,2007,1968
Q,440,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1978
Q,438,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1975
Q,314,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1969
Q,765,昭和57年00月00日,不明,不明,不明,,未撤去,200,1982,1980
Q,891,平成8年1月20日,不明,不明,割継輪,,未撤去,300,1996,1995
Q,893,平成04年07月00日,不明,不明,不明,,未撤去,150,1992,1970
Q,931,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1974
Q,1309,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1967
R,47,平成16年5月18日,不明,その他,その他,φ７５仕切弁取替,撤去済,75,2004,1968
R,56,昭和62年00月00日,不明,不明,その他,,未撤去,150,1987,1981
R,93,昭和61年00月00日,不明,不明,不明,,未撤去,300,1986,1986
R,121,平成14年12月19日,配水管本体,不明,割継輪,,未撤去,150,2002,1981
R,169,平成7年11月10日,不明,不明,割継輪,,撤去済,150,1995,1986
R,173,昭和56年00月00日,不明,不明,不明,,撤去済,150,1981,1974
R,200,昭和58年00月00日,不明,不明,不明,,未撤去,100,1983,1977
R,234,平成16年10月1日,不明,その他,その他,漏水修繕工事分水栓,未撤去,150,2004,1973
R,292,平成8年3月6日,配水管本体,不明,管取替え,,未撤去,100,1996,1972
R,382,昭和60年00月00日,不明,不明,不明,,未撤去,100,1985,1975
R,385,昭和55年00月00日,不明,不明,不明,,未撤去,200,1980,1978
R,489,平成14年12月14日,継手,不明,ボルト替え,,未撤去,150,2002,1966
R,537,平成16年10月17日,配水管本体,不明,割継輪,Φ５０給水管漏水修繕工事,未撤去,150,2004,1970
R,566,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1966
R,581,平成17年11月2日,不明,第3者,割継輪,,不明,150,2005,1966
R,802,昭和57年00月00日,不明,不明,不明,,未撤去,300,1982,1972
R,899,昭和61年00月00日,不明,不明,不明,,未撤去,75,1986,1967
R,938,平成14年12月13日,配水管本体,不明,割継輪,,未撤去,300,2002,1967
R,702,平成06年06月00日,不明,不明,不明,,未撤去,300,1994,1966
R,983,平成13年12月16日,配水管本体,不明,割継輪,,未撤去,200,2001,1966
R,1103,昭和56年00月00日,不明,不明,不明,,未撤去,150,1981,1968
R,1247,平成5年5月26日,不明,不明,不明,,未撤去,300,1993,1964
R,1275,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1978
R,1306,昭和59年00月00日,不明,不明,不明,,未撤去,200,1984,1966
R,1331,平成07年01月00日,不明,不明,その他,震災・上水,撤去済,100,1995,1994
R,1407,平成16年4月10日,不明,その他,その他,漏水加修プラスタン止め,未撤去,150,2004,2002
R,1462,平成8年6月2日,配水管本体,不明,割継輪,,未撤去,150,1996,1974
R,1498,昭和63年00月00日,不明,不明,不明,,未撤去,200,1988,1966
R,1498,昭和63年00月00日,不明,不明,不明,,未撤去,200,1988,1966
R,1519,平成16年12月6日,配水管本体,不明,割継輪,配水管漏水修繕工事,未撤去,150,2004,2000
R,1543,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1966
R,1543,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1966
S,24,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1977
S,49,平成7年2月16日,不明,不明,不明,,未撤去,100,1995,1969
S,84,昭和56年00月00日,不明,不明,不明,,未撤去,100,1981,1969
S,84,昭和56年00月00日,不明,不明,不明,,未撤去,100,1981,1969
S,184,平成8年9月20日,配水管本体,不明,管取替え,,未撤去,300,1996,1991
S,260,平成18年5月1日,配水管本体,不明,割継輪,,不明,150,2006,1973
S,307,平成03年09月00日,不明,不明,不明,,未撤去,200,1991,1971
S,307,平成7年1月8日,配水管本体,不明,割継輪,,未撤去,200,1995,1971
S,323,昭和59年00月00日,不明,不明,不明,,撤去済,150,1984,1984
S,178,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1968
S,329,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1974
S,451,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1970
S,451,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1970
S,684,昭和56年00月00日,不明,不明,不明,,未撤去,150,1981,1966
S,690,平成17年8月2日,配水管本体,不明,割継輪,,未撤去,150,2005,1971
S,656,平成18年5月9日,不明,その他,割継輪,,未撤去,150,2006,1971
S,807,平成02年08月00日,不明,不明,不明,パッキン漏水,未撤去,150,1990,1974
S,362,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1967
S,924,昭和63年00月00日,不明,不明,不明,,未撤去,200,1988,1969
S,981,平成14年11月21日,配水管本体,不明,割継輪,,未撤去,200,2002,1979
S,679,平成16年4月28日,不明,その他,その他,本体取替工事,撤去済,200,2004,1971
S,1202,昭和63年00月00日,不明,不明,不明,,未撤去,300,1988,1969
S,1202,昭和63年00月00日,不明,不明,不明,,未撤去,300,1988,1969
S,1209,平成13年5月7日,配水管本体,不明,割継輪,,未撤去,300,2001,1968
S,1342,平成13年12月5日,配水管本体,不明,割継輪,,未撤去,200,2001,1966
S,1563,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1982
T,83,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1976
T,21,平成08年01月00日,不明,不明,漏水防止金具,,未撤去,300,1996,1989
T,108,平成8年3月12日,配水管本体,不明,管取替え,,未撤去,300,1996,1989
T,161,平成17年6月22日,配水管本体,不明,割継輪,,未撤去,300,2005,1969
T,167,平成13年3月31日,配水管本体,不明,管取替え,,撤去済,300,2001,1967
T,216,平成17年12月29日,配水管本体,不明,割継輪,,未撤去,150,2005,1984
T,562,平成8年1月24日,配水管本体,不明,割継輪,,未撤去,300,1996,1992
T,755,平成16年6月17日,不明,その他,不明,室修繕工事,未撤去,150,2004,1981
T,923,昭和63年00月00日,不明,不明,不明,,未撤去,300,1988,1966
T,985,平成05年11月00日,不明,不明,不明,,未撤去,150,1993,1969
T,930,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1977
T,1172,平成17年11月29日,配水管本体,不明,割継輪,修繕工事,未撤去,150,2005,1969
T,1250,昭和62年00月00日,不明,不明,不明,,未撤去,300,1987,1966
T,1162,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1967
U,666,平成15年8月22日,配水管本体,不明,割継輪,,未撤去,150,2003,1979
U,288,平成18年2月3日,配水管本体,不明,割継輪,,未撤去,200,2006,1969
U,1436,平成19年1月10日,配水管本体,不明,割継輪,,未撤去,75,2007,1988
U,1526,平成16年1月28日,配水管本体,不明,割継輪,,未撤去,100,2004,1982
U,1949,平成05年11月00日,不明,不明,不明,,未撤去,150,1993,1976
U,1978,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1970
U,1983,平成02年00月00日,不明,不明,不明,,未撤去,150,1990,1975
U,2001,昭和59年00月00日,不明,不明,不明,,未撤去,300,1984,1981
U,2001,昭和59年00月00日,不明,不明,不明,,未撤去,300,1984,1981
U,2043,平成16年11月28日,不明,不明,ボルト替え,配水管修繕工事,不明,150,2004,1969
U,2050,平成07年01月00日,不明,不明,その他,震災・上水,未撤去,150,1995,1968
U,2268,平成16年11月10日,配水管本体,不明,割継輪,配水管修繕工事,未撤去,200,2004,1969
U,2175,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1980
V,40,平成15年11月7日,配水管本体,不明,割継輪,,未撤去,300,2003,1975
V,102,平成06年12月00日,配水管本体,不明,管取替え,ソケット漏水,未撤去,300,1994,1978
V,212,平成04年01月00日,配水管本体,不明,管取替え,,未撤去,200,1992,1990
V,291,その他00年00月00日,配水管本体,不明,割継輪,,未撤去,300,不明,1971
V,523,平成01年00月00日,不明,不明,不明,,未撤去,300,1989,1974
V,502,平成8年7月23日,配水管本体,不明,割継輪,,未撤去,300,1996,1974
V,533,昭和60年00月00日,不明,不明,その他,,未撤去,200,1985,1973
V,424,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1971
V,660,昭和59年00月00日,不明,不明,不明,,未撤去,200,1984,1972
V,653,平成12年10月14日,配水管本体,不明,割継輪,,未撤去,150,2000,1973
V,989,平成18年12月5日,配水管本体,不明,割継輪,,不明,150,2006,1990
V,1162,平成16年4月28日,不明,その他,その他,パッキン漏水修繕工事,未撤去,200,2004,1976
V,1221,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1979
V,1221,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1979
V,1303,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1973
V,1301,平成18年9月13日,配水管本体,不明,割継輪,,不明,150,2006,1977
V,992,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1977
V,1423,平成01年00月00日,不明,不明,不明,,未撤去,100,1989,1988
V,1456,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1970
V,1888,平成17年6月2日,不明,その他,不明,,未撤去,75,2005,1971
V,1900,昭和58年00月00日,不明,不明,不明,,未撤去,300,1983,1971
V,1478,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1980
W,11,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1980
W,11,平成01年00月00日,不明,不明,不明,,未撤去,150,1989,1980
W,41,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1968
W,41,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1968
W,41,昭和60年00月00日,不明,不明,不明,,未撤去,150,1985,1968
W,55,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1970
W,55,昭和60年00月00日,不明,不明,不明,,未撤去,300,1985,1970
W,64,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1968
W,118,平成04年07月00日,不明,不明,不明,,未撤去,300,1992,1966
W,181,平成04年06月00日,不明,不明,不明,,未撤去,150,1992,1967
W,188,平成12年11月9日,配水管本体,不明,割継輪,,未撤去,200,2000,1977
W,231,平成01年00月00日,不明,不明,不明,,未撤去,300,1989,1968
W,272,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1966
W,314,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1972
W,472,平成12年11月4日,配水管本体,不明,割継輪,,未撤去,200,2000,1969
W,544,平成16年5月24日,不明,その他,不明,給水装置修繕工事,未撤去,200,2004,2004
W,601,平成16年5月24日,不明,その他,不明,給水装置修繕工事,未撤去,200,2004,1969
W,609,昭和60年00月00日,不明,不明,不明,,未撤去,200,1985,1969
W,609,昭和55年00月00日,不明,不明,不明,,未撤去,200,1980,1969
W,668,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1972
W,908,平成13年8月14日,不明,その他,不明,C金具にて止水中,未撤去,200,2001,1973
W,1117,昭和63年00月00日,不明,不明,不明,,未撤去,150,1988,1968
W,1107,平成12年12月9日,配水管本体,不明,割継輪,,未撤去,200,2000,1972
W,1260,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1969
W,1260,昭和56年00月00日,不明,不明,不明,,未撤去,200,1981,1969
W,1190,平成18年9月1日,配水管本体,不明,割継輪,,不明,200,2006,1967
W,1434,昭和62年00月00日,不明,不明,不明,,未撤去,150,1987,1970
W,1482,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1973
W,1568,平成13年1月18日,配水管本体,不明,割継輪,,未撤去,150,2001,1966
W,1568,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1966
W,1779,昭和55年00月00日,不明,不明,不明,,未撤去,200,1980,1966
W,1850,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1970
W,1948,平成16年9月18日,配水管本体,不明,割継輪,漏水修繕工事分水栓,未撤去,200,2004,1988
W,2082,昭和55年00月00日,不明,不明,不明,,撤去済,100,1980,1974
W,2085,昭和55年00月00日,不明,不明,不明,,撤去済,100,1980,1974
W,2275,昭和56年00月00日,不明,不明,不明,,未撤去,150,1981,1975
X,405,平成03年09月00日,不明,不明,不明,,未撤去,200,1991,1972
X,652,平成17年8月12日,不明,不明,不明,,不明,200,2005,1975
X,988,平成03年06月00日,不明,不明,不明,,未撤去,150,1991,1983
X,1132,平成17年2月17日,不明,不明,割継輪,配水設備修繕工事,不明,150,2005,1981
X,1304,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1971
X,1388,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1981
X,1474,昭和56年00月00日,不明,不明,不明,,未撤去,300,1981,1971
X,1795,平成15年1月6日,不明,その他,不明,,未撤去,150,2003,1973
X,1976,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1970
X,2063,平成16年11月22日,配水管本体,不明,管取替え,配水管修繕工事,撤去済,300,2004,1985
X,1985,昭和57年00月00日,不明,不明,不明,,未撤去,150,1982,1981
Y,127,平成12年10月30日,配水管本体,不明,割継輪,,未撤去,100,2000,1978
Y,24,平成17年8月7日,不明,その他,その他,150×40割Ｔ字管修繕,未撤去,150,2005,1976
Y,85,平成8年4月12日,配水管本体,不明,管取替え,,未撤去,150,1996,1980
Y,909,昭和58年00月00日,不明,不明,不明,,未撤去,200,1983,1983
Y,1035,平成8年2月22日,配水管本体,不明,管取替え,Ｌ＝１．５ｍ,未撤去,150,1996,1974
Y,1033,平成8年4月27日,不明,不明,不明,,未撤去,150,1996,1974
Y,1194,昭和61年00月00日,不明,不明,不明,,未撤去,200,1986,1975
Y,438,平成8年2月17日,配水管本体,不明,管取替え,,未撤去,150,1996,1966
Y,1428,平成18年3月29日,不明,その他,不明,,撤去済,75,2006,1998
Y,2111,平成17年8月24日,不明,不明,不明,,不明,150,2005,1976
Y,2144,平成06年05月00日,不明,不明,不明,,未撤去,300,1994,1978
Y,2211,昭和62年00月00日,不明,不明,不明,,未撤去,200,1987,1966
Y,2281,平成16年6月19日,不明,その他,その他,漏水修繕工事,未撤去,150,2004,1980
Y,2351,平成06年09月00日,不明,不明,不明,,未撤去,200,1994,1978
Y,2352,平成6年5月11日,不明,不明,不明,,未撤去,200,1994,1978
Y,2439,平成14年1月10日,配水管本体,不明,不明,折損加修工事(打ち込み),未撤去,200,2002,1981
Y,2686,平成16年9月16日,配水管本体,不明,割継輪,配水管修繕工事,未撤去,150,2004,1979
Y,2702,平成16年7月23日,配水管本体,不明,割継輪,配水管修繕工事,未撤去,150,2004,1973
Y,2040,平成17年8月31日,配水管本体,不明,割継輪,,未撤去,150,2005,1978
Y,2691,平成17年6月2日,配水管本体,不明,割継輪,,未撤去,300,2005,1973
Y,2691,平成17年8月31日,配水管本体,不明,不明,,未撤去,300,2005,1973
Y,2789,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1976
Y,2836,平成02年00月00日,不明,不明,不明,,未撤去,300,1990,1985
Y,2889,平成03年10月00日,不明,不明,不明,,未撤去,150,1991,1978
Z,109,平成8年4月8日,配水管本体,不明,管取替え,,未撤去,150,1996,1974
Z,121,平成01年00月00日,不明,不明,不明,,未撤去,100,1989,1969
Z,121,平成18年12月13日,配水管本体,不明,割継輪,,未撤去,100,2006,1969
Z,214,昭和61年00月00日,不明,不明,不明,,未撤去,200,1986,1980
Z,257,平成7年10月17日,不明,不明,不明,漏水,未撤去,150,1995,1980
Z,83,平成17年3月16日,不明,不明,割継輪,給水装置修繕工事,不明,150,2005,1977
Z,384,平成8年1月26日,不明,不明,不明,締め直し,未撤去,200,1996,1972
Z,439,平成7年5月22日,継手,不明,不明,,未撤去,300,1995,1976
Z,467,昭和59年00月00日,不明,不明,不明,,未撤去,300,1984,1982
Z,161,平成04年09月00日,配水管本体,不明,割継輪,,未撤去,150,1992,1976
Z,184,平成15年3月25日,配水管本体,不明,不明,,未撤去,200,2003,1984
Z,184,平成15年4月15日,配水管本体,不明,管取替え,,撤去済,200,2003,1984
Z,580,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1976
Z,642,平成7年12月27日,配水管本体,不明,割継輪,ＳＰ用,未撤去,100,1995,1978
Z,645,昭和59年00月00日,不明,不明,不明,,未撤去,100,1984,1978
Z,650,平成15年5月20日,配水管本体,不明,割継輪,,未撤去,100,2003,1969
Z,802,平成13年10月12日,配水管本体,不明,不明,離脱防止金具,未撤去,150,2001,1973
Z,896,平成02年00月00日,不明,第3者,不明,,未撤去,300,1990,1967
Z,1089,昭和61年00月00日,不明,不明,不明,,未撤去,150,1986,1983
Z,1182,平成16年9月15日,配水管本体,不明,割継輪,配水管漏水修繕工事,未撤去,150,2004,1970
Z,734,平成18年10月17日,配水管本体,不明,割継輪,,未撤去,300,2006,1969
Z,1252,昭和63年00月00日,不明,不明,不明,,未撤去,100,1988,1972
Z,1474,平成06年01月00日,不明,不明,不明,,未撤去,100,1994,1974
Z,1518,平成14年11月27日,配水管本体,不明,割継輪,,不明,150,2002,1982
Z,1536,平成17年5月19日,配水管本体,第3者,割継輪,配水設備修繕工事,未撤去,200,2005,1966
Z,1542,昭和60年00月00日,不明,不明,不明,,未撤去,100,1985,1977
Z,1567,平成9年12月20日,不明,その他,その他,サヤ管破損・モルタル充填,未撤去,200,1997,1968
Z,1567,平成9年12月20日,不明,その他,その他,サヤ管破損・モルタル充填,未撤去,200,1997,1968
Z,1580,平成14年11月22日,配水管本体,不明,割継輪,,未撤去,75,2002,1998
Z,1649,平成12年12月23日,不明,その他,割継輪,,未撤去,150,2000,2000
Z,1126,平成13年12月25日,配水管本体,不明,不明,折損加修,未撤去,200,2001,1997
Z,1654,平成8年2月26日,継手,不明,割継輪,,未撤去,150,1996,1973
Z,1656,昭和55年00月00日,不明,不明,不明,,未撤去,150,1980,1969
Z,1746,平成16年11月19日,不明,不明,割継輪,配水設備修繕工事,未撤去,200,2004,1984
Z,1786,昭和61年00月00日,不明,不明,不明,,未撤去,200,1986,1984
Z,1797,平成5年4月26日,不明,不明,不明,,未撤去,150,1993,1973
Z,1857,平成07年01月00日,不明,不明,その他,震災・上水,未撤去,200,1995,1986
Z,2097,平成02年00月00日,不明,不明,不明,,撤去済,200,1990,1974
Z,2421,平成15年1月20日,配水管本体,不明,割継輪,,未撤去,100,2003,1971
Z,2099,昭和59年00月00日,不明,不明,不明,,未撤去,200,1984,1983
Z,2985,昭和59年00月00日,不明,不明,不明,,未撤去,150,1984,1984
Z,2980,昭和58年00月00日,不明,不明,不明,,未撤去,150,1983,1978
Z,3043,平成16年10月24日,不明,不明,割継輪,配水管修繕工事,未撤去,150,2004,1978
