before,after,interval,constant,AADT
1,5,10,1,1
1,4,10,1,1
1,3,10,1,1
1,1,10,1,1
1,3,10,1,1
1,2,1,1,0.387777778
1,2,1,1,0.387777778
1,4,1,1,0.387777778
1,5,1,1,0.387777778
1,3,1,1,0.387777778
1,5,1,1,0.387777778
1,4,1,1,0.387777778
1,5,1,1,0.387777778
1,5,1,1,0.387777778
1,5,1,1,0.387777778
1,5,1,1,0.387777778
1,3,1,1,0.387777778
1,3,6,1,0.387777778
1,2,7,1,0.195266667
1,1,7,1,0.195266667
1,2,7,1,0.195266667
1,2,7,1,0.195266667
1,2,7,1,0.195266667
1,1,7,1,0.195266667
1,2,7,1,0.195266667
1,1,7,1,0.195266667
1,1,5,1,0.198422222
1,2,5,1,0.198422222
1,1,5,1,0.198422222
1,2,5,1,0.198422222
1,2,5,1,0.198422222
1,1,5,1,0.198422222
1,1,5,1,0.198422222
1,1,5,1,0.198422222
1,1,5,1,0.198422222
1,1,5,1,0.198422222
1,1,5,1,0.198422222
1,1,4,1,0.209666667
1,2,4,1,0.209666667
1,5,4,1,0.209666667
1,1,4,1,0.209666667
1,1,4,1,0.209666667
1,2,4,1,0.209666667
1,2,4,1,0.209666667
1,2,4,1,0.209666667
1,3,4,1,0.209666667
1,1,4,1,0.209666667
1,1,4,1,0.194088889
1,2,4,1,0.194088889
1,5,6,1,0.332044444
1,1,6,1,0.332377778
1,2,6,1,0.332633333
1,1,6,1,0.3199
1,2,6,1,0.616222222
1,2,6,1,0.175133333
1,2,6,1,0.175133333
1,2,6,1,0.173733333
1,5,8,1,0.438122222
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,8,1,0.2194
1,5,11,1,0.2194
1,3,2,1,0.219377778
1,3,2,1,0.2194
1,2,2,1,0.189255556
1,1,1,1,0.158044444
1,1,1,1,0.158044444
1,1,1,1,0.152588889
1,1,1,1,0.152588889
1,1,1,1,0.152588889
1,1,1,1,0.152588889
1,2,1,1,0.152588889
1,1,1,1,0.152588889
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,1,1,1,0.245377778
1,5,7,1,0.326988889
1,5,7,1,0.326988889
1,5,7,1,0.326988889
1,4,6,1,0.326988889
1,3,6,1,0.326988889
1,4,6,1,0.326988889
1,4,6,1,0.326988889
1,5,6,1,0.326988889
1,4,6,1,0.326988889
1,4,6,1,0.326988889
1,4,6,1,0.326988889
1,5,6,1,0.326988889
1,4,6,1,0.326988889
1,5,6,1,0.326988889
1,5,6,1,0.326988889
1,3,6,1,0.326988889
1,1,6,1,0.326988889
1,5,6,1,0.326988889
1,4,6,1,0.326988889
1,3,6,1,0.326988889
1,3,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.326988889
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,6,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,5,1,0.0148
1,1,4,1,0.0482
1,1,4,1,0.0482
1,1,4,1,0.0482
1,1,4,1,0.0482
1,1,4,1,0.0482
1,1,4,1,0.0482
1,2,4,1,0.0482
1,2,4,1,0.0482
1,1,4,1,0.0482
1,2,4,1,0.0482
1,1,4,1,0.020933333
1,1,4,1,0.141677778
1,1,4,1,0.191955556
1,1,4,1,0.1416
1,1,4,1,0.141433333
1,1,4,1,0.141433333
1,1,4,1,0.142666667
1,3,4,1,0.137966667
1,3,4,1,0.068988889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.138866667
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.1345
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.139822222
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,3,4,1,0.137788889
1,1,3,1,0.030766667
1,1,3,1,0.060911111
1,1,3,1,0.060911111
1,2,3,1,0.0297
1,2,3,1,0.028233333
1,2,3,1,0.0297
1,2,3,1,0.0297
1,1,3,1,0.0297
1,1,3,1,0.0297
1,3,5,1,0.166422222
1,4,5,1,0.166422222
1,2,5,1,0.166422222
1,2,5,1,0.166422222
1,2,5,1,0.166422222
1,2,5,1,0.166422222
1,2,5,1,0.166422222
1,2,5,1,0.166422222
1,3,5,1,0.166422222
1,2,5,1,0.166422222
1,2,4,1,0.521066667
1,1,2,1,0.521066667
1,2,11,1,0.521066667
1,2,11,1,0.521066667
1,3,11,1,0.521066667
1,1,11,1,0.521066667
1,1,11,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,1,8,1,0.521066667
1,2,8,1,0.521344444
1,2,8,1,0.521633333
1,1,8,1,0.521255556
1,1,9,1,0.1987
1,3,9,1,0.1987
1,4,9,1,0.1987
1,1,9,1,0.1987
1,5,9,1,0.1987
1,5,9,1,0.1987
1,5,9,1,0.1987
1,5,9,1,0.1987
1,5,9,1,0.1987
1,5,9,1,0.1987
1,4,4,1,0.1987
1,2,4,1,0.1987
1,3,4,1,0.1987
1,2,4,1,0.1987
1,4,4,1,0.1987
1,3,4,1,0.1987
1,4,4,1,0.1987
1,4,4,1,0.1987
1,3,4,1,0.1987
1,5,4,1,0.1987
1,4,4,1,0.1987
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,4,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,2,1,0.3019
1,1,2,1,0.3019
1,1,2,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,2,5,1,0.3019
1,2,5,1,0.3019
1,4,5,1,0.3019
1,3,5,1,0.3019
1,2,5,1,0.3019
1,4,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,3,5,1,0.3019
1,1,5,1,0.3019
1,1,5,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,2,7,1,0.3019
1,5,7,1,0.3019
1,3,7,1,0.3019
1,1,7,1,0.3019
1,1,7,1,0.3019
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,3,1,0.014911111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,3,1,0.096011111
1,1,3,1,0.096011111
1,1,3,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,8,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,6,1,0.096011111
1,1,6,1,0.096011111
1,1,1,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,4,1,0.096011111
1,1,5,1,0.096011111
1,1,5,1,0.096011111
1,1,5,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,1,2,1,0.096011111
1,2,4,1,0.205622222
1,2,3,1,0.703733333
1,3,3,1,0.703733333
1,3,3,1,0.703733333
1,3,3,1,0.703733333
1,2,3,1,0.703733333
1,4,3,1,0.703733333
1,3,7,1,0.698222222
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.702977778
1,4,7,1,0.703733333
1,3,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.191611111
1,3,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,2,7,1,0.703733333
1,3,7,1,0.703733333
1,3,7,1,0.703733333
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,3,7,1,0.173166667
1,3,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,5,7,1,0.173166667
1,4,7,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,5,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,1,6,1,0.173166667
1,5,6,1,0.173166667
1,5,6,1,0.173166667
1,3,6,1,0.173166667
1,3,6,1,0.173166667
1,2,6,1,0.173166667
1,3,6,1,0.173166667
1,2,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,3,6,1,0.173166667
1,5,6,1,0.173166667
1,4,6,1,0.173166667
1,4,6,1,0.173166667
1,3,6,1,0.173166667
1,4,6,1,0.173166667
1,2,6,1,0.173166667
1,3,6,1,0.207244444
1,1,6,1,0.207244444
1,1,6,1,0.207244444
1,1,6,1,0.207244444
1,5,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,3,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,2,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,3,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,4,7,1,0.207244444
1,4,7,1,0.207244444
1,1,7,1,0.207244444
1,5,7,1,0.207244444
1,2,7,1,0.207244444
1,4,7,1,0.207244444
1,3,7,1,0.207244444
1,4,7,1,0.207244444
1,4,7,1,0.207244444
1,5,7,1,0.207244444
1,5,7,1,0.207244444
1,1,7,1,0.207244444
1,4,6,1,0.427544444
1,3,6,1,0.427755556
1,4,6,1,0.427933333
1,3,6,1,0.496166667
1,2,6,1,0.479866667
1,2,8,1,0.435077778
1,4,8,1,0.241444444
1,2,7,1,0.194088889
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,3,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,8,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,5,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,7,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,6,1,0.134866667
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.026155556
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,4,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,1,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,2,4,1,0.024411111
1,1,4,1,0.024411111
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,2,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,10,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,1,5,1,0.815422222
1,3,6,1,0.050733333
1,4,6,1,0.050733333
1,2,6,1,0.050733333
1,2,6,1,0.050733333
1,3,6,1,0.050733333
1,1,6,1,0.050733333
1,1,6,1,0.050733333
1,1,6,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,1,5,1,0.050733333
1,4,5,1,0.050733333
1,5,5,1,0.050733333
1,4,5,1,0.050733333
1,3,5,1,0.050733333
1,1,5,1,0.050733333
1,3,5,1,0.050733333
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,3,1,0.0103
1,1,2,1,0.041788889
1,1,2,1,0.041788889
1,1,1,1,0.0594
1,1,1,1,0.0594
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,1,5,1,0.045166667
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
1,3,5,1,0.044433333
